 "concept" , "prefLabelNl" , "definitionNl" ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/l-extra-curriculair" , "extracurriculair" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/l-frans" , "Frans" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/l-ict" , "ICT" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/l-leren-leren" , "leren leren" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/l-levensbeschouwelijke-vakken" , "levensbeschouwelijke vakken" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/l-lichamelijke-opvoeding" , "lichamelijke opvoeding" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/l-mens-en-maatschappij" , "mens en maatschappij" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/l-muzische-vorming" , "muzische vorming" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/l-nederlands" , "Nederlands" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/l-sociale-vaardigheden" , "sociale vaardigheden" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/l-wetenschap-en-techniek" , "wetenschap en techniek" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/l-wiskunde" , "wiskunde" ,  ,
