 "concept" , "prefLabelNl" , "definitionNl" ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-ict" , "ICT" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-beeld" , "beeld" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-beweging" , "beweging" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-brongebruik" , "brongebruik" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-culturele-gerichtheid" , "culturele gerichtheid" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-drama" , "drama" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-extra-curriculair" , "extracurriculair" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-getallen" , "getallen" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-godsdienst" , "godsdienst" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-leren-leren" , "leren leren" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-fr-lezen" , "lezen (Frans)" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-lezen" , "lezen (Nederlands)" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-lichamelijke-opvoeding" , "lichamelijke opvoeding" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-fr-luisteren" , "luisteren (Frans)" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-luisteren" , "luisteren (Nederlands)" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-maatschappij" , "maatschappij" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-media" , "media" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-meetkunde" , "meetkunde" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-mens" , "mens" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-meten" , "meten" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-mondelinge-interactie" , "mondelinge interactie" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-muziek" , "muziek" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-natuur" , "natuur" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-niet-confessionele-zedenleer" , "niet-confessionele zedenleer" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-ruimte" , "ruimte" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-fr-schrijven" , "schrijven (Frans)" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-schrijven" , "schrijven (Nederlands)" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-sociale-vaardigheden" , "sociale vaardigheden" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-fr-spreken" , "spreken (Frans)" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-spreken" , "spreken (Nederlands)" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-strategieen" , "strategieën" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-stratprobv" , "strategieën en probleemoplossende vaardigheden" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-taalbeschouwing" , "taalbeschouwing" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-techniek" , "techniek" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/s-tijd" , "tijd" ,  ,
