 "concept" , "prefLabelNl" , "definitionNl" ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-algemene-vaardigheden" , "algemene vaardigheden" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-algemene-vaardigheden-ruimte" , "algemene vaardigheden ruimte" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-algemene-vaardigheden-tijd" , "algemene vaardigheden tijd" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-anglicaanse" , "anglicaanse" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-dagelijkse-tijd" , "dagelijkse tijd" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-extra-curriculair" , "extracurriculair" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-gezondheid" , "gezondheid" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-historische-tijd" , "historische tijd" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-ict" , "ICT" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-ik-en-de-ander" , "ik en de ander" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-ik-en-de-anderen-in-groep" , "ik en de anderen in groep" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-ik-en-mezelf" , "ik en mezelf" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-islamitische" , "islamitische" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-israelitische" , "israëlitische" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-kerncomponenten-van-techniek" , "kerncomponenten van techniek" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-leren-leren" , "leren leren" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-levende-en-niet-levende-natuur" , "levende en niet-levende natuur" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-milieu" , "milieu" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-orientatie-en-kaartvaardigheid" , "oriëntatie- en kaartvaardigheid" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-orthodoxe" , "orthodoxe" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-politieke-en-juridische-verschijnselen" , "politieke en juridische verschijnselen" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-protestants-evangelische" , "protestants-evangelische" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-rooms-katholieke" , "rooms-katholieke" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-ruimtebeleving" , "ruimtebeleving" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-ruimtelijke-ordening" , "ruimtelijke ordening/bepaaldheid" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-sociaal-culturele-verschijnselen" , "sociaal-culturele verschijnselen" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-sociaal-economische-verschijnselen" , "sociaal-economische verschijnselen" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-sociale-vaardigheden" , "sociale vaardigheden" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-techniek-als-menselijke-activiteit" , "techniek als menselijke activiteit" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-techniek-en-samenleving" , "techniek en samenleving" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr2/t-verkeer-en-mobiliteit" , "verkeer en mobiliteit" ,  ,
