 "concept" , "prefLabelNl" , "definitionNl" ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-1-communicatie" , "communicatie (andere talen)" , "Vreemde talen receptief, productief en interactief, zowel mondeling als schriftelijk gebruiken als communicatiemiddelen in relevante situaties." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-1-literatuur" , "literatuur (andere talen)" , "Literatuur in vreemde talen beleven." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-1-taal-en-cultuur" , "taal en cultuur (andere talen)" , "Inzicht hebben in vreemde talen als exponenten en delen van culturen en maatschappijen." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-1-taalsysteem" , "taalsysteem (andere talen)" , "Kenmerken en principes van vreemde talen begrijpen om ze in te zetten bij het communiceren." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-biologie" , "levende systemen" , "Inzicht ontwikkelen in de basiseigenschappen van levende systemen." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-bronnenkritiek" , "historische bronnenkritiek" , "Kritisch reflecteren met en over historische bronnen." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-chemie" , "materie (bouw, structuur, eigenschappen)" , "Inzicht ontwikkelen in de bouw, structuur en eigenschappen van materie in levende en niet-levende systemen." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-communicatie" , "communicatie (Nederlands)" , "Het Nederlands receptief, productief en interactief, zowel mondeling als schriftelijk gebruiken als communicatiemiddel in relevante situaties." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-computers-en-systemen" , "computers en systemen" , "Computationeel denken en handelen." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-democratie-en-mensenrechten" , "democratie en mensenrechten" , "Democratische principes en democratische cultuur kaderen binnen de moderne rechtsstaat." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-dialoog" , "dialoog" , "Geïnformeerd en beargumenteerd met elkaar in dialoog gaan." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-digitale-media-en-toepassingen" , "digitale media en toepassingen" , "Digitale media en toepassingen gebruiken om te creëren, te participeren en te interageren." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-diversiteit" , "diversiteit" , "Omgaan met diversiteit in het samenleven en het samenwerken." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-economie" , "algemene economie" , "Reflecteren over de werking van de markten en de economie als systeem en de invloed van de overheid hierop duiden binnen de (inter)nationale context." ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-ethiek" , "ethiek" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-filosofie" , "filosofie" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-fysica" , "energie en materie (interacties)" , "Inzicht ontwikkelen in de verschijningsvormen van energie, de wisselwerking tussen materie onderling en met energie alsook de gevolgen ervan." ,
