 "concept" , "prefLabelNl" , "definitionNl" ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/c-andere-talen" , "andere talen" , "3. Competenties in andere talen" ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/c-burgerschap-en-samenleven" , "burgerschap" , "7. Burgerschapscompetenties met inbegrip van competenties inzake samenleven" ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/c-cultureel-bewustzijn-en-culturele-expressie" , "cultureel bewustzijn" , "16. Cultureel bewustzijn en culturele expressie" ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/c-digitale-competenties-en-mediawijsheid" , "digitale competenties" , "4. Digitale competentie en mediawijsheid" ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/c-duurzaamheid" , "duurzaamheid" , "10. Competenties inzake duurzaamheid" ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/c-economisch-financiele-competenties" , "economische en financiële competenties" , "11. Economische en financiële competenties" ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/c-historisch-bewustzijn" , "historisch bewustzijn" , "8. Competenties met betrekking tot historisch bewustzijn" ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/c-juridische-competenties" , "juridische competenties" , "12. Juridische competenties" ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/c-leercompetenties" , "leercompetenties" , "13. Leercompetenties met inbegrip van onderzoekscompetenties, innovatiedenken, creativiteit, probleemoplossend en kritisch denken, systeemdenken, informatieverwerking en samenwerken" ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/c-lichamelijk-geestelijk-en-emotioneel-welzijn" , "lichamelijke en geestelijke gezondheid" , "1. Competenties op het vlak van lichamelijk, geestelijk en emotioneel bewustzijn/gezondheid" ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/c-nederlands" , "Nederlands" , "2. Competenties in het Nederlands" ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/c-ondernemingszin" , "ondernemingszin" , "15. Ontwikkeling van initiatief, ambitie, ondernemingszin en loopbaancompetenties" ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/c-religie-en-levensbeschouwing" , "religie en levenbeschouwing" , "Competenties betreffende religie en levensbeschouwing" ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/c-ruimtelijk-bewustzijn" , "ruimtelijk bewustzijn" , "9. Competenties met betrekking tot ruimtelijk bewustzijn" ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/c-sociaal-relationele-vorming" , "sociaal-relationele competenties" , "5. Sociaal-relationele competenties" ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/c-stem" , "wiskunde - natuurwetenschappen - technologie - STEM" , "6. Competenties inzake wiskunde, exacte wetenschappen en technologie" ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/c-zelfbewustzijn" , "zelfbewustzijn" , "14. Zelfbewustzijn en zelfexpressie, zelfsturing en wendbaarheid" ,
