 "concept" , "prefLabelNl" , "definitionNl" ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-aardwetenschappen" , "aardwetenschappen" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-algemene-doorstroomcompetenties" , "algemene doorstroomcompetenties" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-bewegingswetenschappen" , "bewegingswetenschappen" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-gedragswetenschappen" , "gedragswetenschappen" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-informaticawetenschappen" , "informaticawetenschappen" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-klassieke-talen" , "klassieke talen" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-kunst-en-cultuur" , "kunst en cultuur" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-moderne-talen" , "moderne talen" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-sociale-wetenschappen" , "sociale wetenschappen" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-stem" , "STEM" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-wd-biologie" , "biologie (wetenschapsdomein)" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-wd-chemie" , "chemie (wetenschapsdomein)" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-wd-economie" , "economie (wetenschapsdomein)" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-wd-filosofie" , "filosofie (wetenschapsdomein)" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-wd-fysica" , "fysica (wetenschapsdomein)" ,  ,
 "http://ilearn.ilabt.imec.be/vocab/curr1/s-wiskunde" , "wiskunde" ,  ,
