Niveau,Onderwijsstructuur,Soort,Indeling,Indelingstype,Type onderwijsdoel,Titel 1,Titel 2,Titel 3,Nummer / Code,Onderwijsdoel,Attitudinaal,Geldig vanaf,Id,Onderwijsniveau_id,Verwant leergebied,Verwant subdomein,Verwant thema
Basisonderwijs,Lager Onderwijs,Gewoon,Frans,Leergebied,Eindtermen,"Taaltaken, verwerkingsniveaus, tekstsoorten en tekstkenmerken",Luisteren,,1,"De leerlingen kunnen volgende taken beschrijvend uitvoeren: het onderwerp bepalen in informatieve, narratieve en artistiek-literaire teksten met de volgende kenmerken

Onderwerp
-concreet
-eigen leefwereld en dagelijks leven

Taalgebruikssituatie
-concrete en voor de leerlingen vertrouwde, relevante taalgebruikssituaties
-zonder storende achtergrondgeluiden
-meestal met visuele ondersteuning
-tot hen of tot hun leeftijdsgroep gericht

Structuur/samenhang/lengte
-korte enkelvoudige en eenvoudig samengestelde zinnen met de meest frequente voegwoorden
-elementaire tekststructuur
-zeer korte teksten
-met expliciete informatie
-ook met redundante informatie

Uitspraak, articulatie, intonatie
-heldere uitspraak
-zorgvuldige articulatie
-duidelijke,natuurlijke intonatie
-standaardtaal

Tempo en vlotheid
-langzaam tempo met pauzes waar nodig

Woordenschat en taalvariëteit
-zeer frequente woorden
-eenduidig in de context
-standaardtaal
-informeel en formeel",Nee,31/08/2006,basis-lager-frans-1,http://ilearn.ilabt.imec.be/vocab/ondniv/basis-lager,http://ilearn.ilabt.imec.be/vocab/curr2/l-frans,http://ilearn.ilabt.imec.be/vocab/curr2/s-fr-luisteren,
Basisonderwijs,Lager Onderwijs,Gewoon,Frans,Leergebied,Eindtermen,"Taaltaken, verwerkingsniveaus, tekstsoorten en tekstkenmerken",Luisteren,,2,"De leerlingen kunnen volgende taken beschrijvend uitvoeren: de elementaire gedachtegang volgen van prescriptieve en narratieve teksten met de volgende kenmerken

Onderwerp
-concreet
-eigen leefwereld en dagelijks leven

Taalgebruikssituatie
-concrete en voor de leerlingen vertrouwde, relevante taalgebruikssituaties
-zonder storende achtergrondgeluiden
-meestal met visuele ondersteuning
-tot hen of tot hun leeftijdsgroep gericht

Structuur/samenhang/lengte
-korte enkelvoudige en eenvoudig samengestelde zinnen met de meest frequente voegwoorden
-elementaire tekststructuur
-zeer korte teksten
-met expliciete informatie
-ook met redundante informatie

Uitspraak, articulatie, intonatie
-heldere uitspraak
-zorgvuldige articulatie
-duidelijke,natuurlijke intonatie
-standaardtaal

Tempo en vlotheid
-langzaam tempo met pauzes waar nodig

Woordenschat en taalvariëteit
-zeer frequente woorden
-eenduidig in de context
-standaardtaal
-informeel en formeel",Nee,31/08/2006,basis-lager-frans-2,http://ilearn.ilabt.imec.be/vocab/ondniv/basis-lager,http://ilearn.ilabt.imec.be/vocab/curr2/l-frans,http://ilearn.ilabt.imec.be/vocab/curr2/s-fr-luisteren,
Basisonderwijs,Lager Onderwijs,Gewoon,Frans,Leergebied,Eindtermen,"Taaltaken, verwerkingsniveaus, tekstsoorten en tekstkenmerken",Luisteren,,3,"De leerlingen kunnen volgende taken beschrijvend uitvoeren: gevraagde informatie selecteren uit informatieve en narratieve teksten met de volgende kenmerken

Onderwerp
-concreet
-eigen leefwereld en dagelijks leven

Taalgebruikssituatie
-concrete en voor de leerlingen vertrouwde, relevante taalgebruikssituaties
-zonder storende achtergrondgeluiden
-meestal met visuele ondersteuning
-tot hen of tot hun leeftijdsgroep gericht

Structuur/samenhang/lengte
-korte enkelvoudige en eenvoudig samengestelde zinnen met de meest frequente voegwoorden
-elementaire tekststructuur
-zeer korte teksten
-met expliciete informatie
-ook met redundante informatie

Uitspraak, articulatie, intonatie
-heldere uitspraak
-zorgvuldige articulatie
-duidelijke,natuurlijke intonatie
-standaardtaal

Tempo en vlotheid
-langzaam tempo met pauzes waar nodig

Woordenschat en taalvariëteit
-zeer frequente woorden
-eenduidig in de context
-standaardtaal
-informeel en formeel",Nee,31/08/2006,basis-lager-frans-3,http://ilearn.ilabt.imec.be/vocab/ondniv/basis-lager,http://ilearn.ilabt.imec.be/vocab/curr2/l-frans,http://ilearn.ilabt.imec.be/vocab/curr2/s-fr-luisteren,
Basisonderwijs,Lager Onderwijs,Gewoon,Frans,Leergebied,Eindtermen,"Taaltaken, verwerkingsniveaus, tekstsoorten en tekstkenmerken",Luisteren,,4,"De leerlingen passen indien nodig volgende strategieën toe:
-zich blijven concentreren ondanks het feit dat ze niet alles begrijpen;
-het luisterdoel bepalen;
-gebruik maken van ondersteunend visueel en auditief materiaal;
-hypothesen vormen over de inhoud van de tekst
-de vermoedelijke betekenis van transparante woorden afleiden.
In teksten met de volgende kenmerken

Onderwerp
-concreet
-eigen leefwereld en dagelijks leven

Taalgebruikssituatie
-concrete en voor de leerlingen vertrouwde, relevante taalgebruikssituaties
-zonder storende achtergrondgeluiden
-meestal met visuele ondersteuning
-tot hen of tot hun leeftijdsgroep gericht

Structuur/samenhang/lengte
-korte enkelvoudige en eenvoudig samengestelde zinnen met de meest frequente voegwoorden
-elementaire tekststructuur
-zeer korte teksten
-met expliciete informatie
-ook met redundante informatie

Uitspraak, articulatie, intonatie
-heldere uitspraak
-zorgvuldige articulatie
-duidelijke,natuurlijke intonatie
-standaardtaal

Tempo en vlotheid
-langzaam tempo met pauzes waar nodig

Woordenschat en taalvariëteit
-zeer frequente woorden
-eenduidig in de context
-standaardtaal
-informeel en formeel",Nee,31/08/2006,basis-lager-frans-4,http://ilearn.ilabt.imec.be/vocab/ondniv/basis-lager,http://ilearn.ilabt.imec.be/vocab/curr2/l-frans,http://ilearn.ilabt.imec.be/vocab/curr2/s-fr-luisteren,
Basisonderwijs,Lager Onderwijs,Gewoon,Frans,Leergebied,Eindtermen,"Taaltaken, verwerkingsniveaus, tekstsoorten en tekstkenmerken",Lezen,,5,"De leerlingen kunnen volgende taken beschrijvend uitvoeren: het onderwerp bepalen in informatieve, prescriptieve, narratieve en artistiek-literaire teksten met de volgende kenmerken

Onderwerp
-concreet
-eigen leefwereld en dagelijks leven

Taalgebruikssituatie
-concrete en voor de leerlingen vertrouwde, relevante taalgebruikssituaties
-meestal met visuele ondersteuning
-tot hen of tot hun leeftijdsgroep gericht

Structuur/samenhang/lengte
-korte enkelvoudige en eenvoudig samengestelde zinnen met de meest frequente voegwoorden
-elementaire tekststructuur
-korte teksten
-ook met redundante informatie

Woordenschat en taalvariëteit
-frequente woorden
-eenduidig in de context
-standaardtaal
-informeel en formeel",Nee,31/08/2006,basis-lager-frans-5,http://ilearn.ilabt.imec.be/vocab/ondniv/basis-lager,http://ilearn.ilabt.imec.be/vocab/curr2/l-frans,http://ilearn.ilabt.imec.be/vocab/curr2/s-fr-lezen,
Basisonderwijs,Lager Onderwijs,Gewoon,Frans,Leergebied,Eindtermen,"Taaltaken, verwerkingsniveaus, tekstsoorten en tekstkenmerken",Lezen,,6,"De leerlingen kunnen volgende taken beschrijvend uitvoeren: de hoofdgedachte achterhalen in informatieve, prescriptieve, narratieve en artistiek-literaire
teksten met de volgende kenmerken

Onderwerp
-concreet
-eigen leefwereld en dagelijks leven

Taalgebruikssituatie
-concrete en voor de leerlingen vertrouwde, relevante taalgebruikssituaties
-meestal met visuele ondersteuning
-tot hen of tot hun leeftijdsgroep gericht

Structuur/samenhang/lengte
-korte enkelvoudige en eenvoudig samengestelde zinnen met de meest frequente voegwoorden
-elementaire tekststructuur
-korte teksten
-ook met redundante informatie

Woordenschat en taalvariëteit
-frequente woorden
-eenduidig in de context
-standaardtaal
-informeel en formeel",Nee,31/08/2006,basis-lager-frans-6,http://ilearn.ilabt.imec.be/vocab/ondniv/basis-lager,http://ilearn.ilabt.imec.be/vocab/curr2/l-frans,http://ilearn.ilabt.imec.be/vocab/curr2/s-fr-lezen,
Basisonderwijs,Lager Onderwijs,Gewoon,Frans,Leergebied,Eindtermen,"Taaltaken, verwerkingsniveaus, tekstsoorten en tekstkenmerken",Lezen,,7,"De leerlingen kunnen volgende taken beschrijvend uitvoeren: de gedachtegang volgen van prescriptieve en narratieve teksten met de volgende kenmerken

Onderwerp
-concreet
-eigen leefwereld en dagelijks leven

Taalgebruikssituatie
-concrete en voor de leerlingen vertrouwde, relevante taalgebruikssituaties
-meestal met visuele ondersteuning
-tot hen of tot hun leeftijdsgroep gericht

Structuur/samenhang/lengte
-korte enkelvoudige en eenvoudig samengestelde zinnen met de meest frequente voegwoorden
-elementaire tekststructuur
-korte teksten
-ook met redundante informatie

Woordenschat en taalvariëteit
-frequente woorden
-eenduidig in de context
-standaardtaal
-informeel en formeel",Nee,31/08/2006,basis-lager-frans-7,http://ilearn.ilabt.imec.be/vocab/ondniv/basis-lager,http://ilearn.ilabt.imec.be/vocab/curr2/l-frans,http://ilearn.ilabt.imec.be/vocab/curr2/s-fr-lezen,
Basisonderwijs,Lager Onderwijs,Gewoon,Frans,Leergebied,Eindtermen,"Taaltaken, verwerkingsniveaus, tekstsoorten en tekstkenmerken",Lezen,,8,"De leerlingen kunnen volgende taken beschrijvend uitvoeren: gevraagde informatie selecteren uit informatieve en narratieve teksten met de volgende kenmerken

Onderwerp
-concreet
-eigen leefwereld en dagelijks leven

Taalgebruikssituatie
-concrete en voor de leerlingen vertrouwde, relevante taalgebruikssituaties
-meestal met visuele ondersteuning
-tot hen of tot hun leeftijdsgroep gericht

Structuur/samenhang/lengte
-korte enkelvoudige en eenvoudig samengestelde zinnen met de meest frequente voegwoorden
-elementaire tekststructuur
-korte teksten
-ook met redundante informatie

Woordenschat en taalvariëteit
-frequente woorden
-eenduidig in de context
-standaardtaal
-informeel en formeel",Nee,31/08/2006,basis-lager-frans-8,http://ilearn.ilabt.imec.be/vocab/ondniv/basis-lager,http://ilearn.ilabt.imec.be/vocab/curr2/l-frans,http://ilearn.ilabt.imec.be/vocab/curr2/s-fr-lezen,
Basisonderwijs,Lager Onderwijs,Gewoon,Frans,Leergebied,Eindtermen,"Taaltaken, verwerkingsniveaus, tekstsoorten en tekstkenmerken",Lezen,,9,"De leerlingen passen indien nodig volgende strategieën toe:
-zich blijven concentreren ondanks het feit dat ze niet alles begrijpen;
-het leesdoel bepalen;
-gebruik maken van ondersteunend visueel en auditief materiaal;
-hypothesen vormen over de inhoud van de tekst
-de vermoedelijke betekenis van transparante woorden afleiden;
-de vermoedelijke betekenis van onbekende woorden afleiden uit de context;
-herlezen wat onduidelijk is;
-een woordenlijst of een woordenboek raadplegen.
In teksten met de volgende kenmerken

Onderwerp
-concreet
-eigen leefwereld en dagelijks leven

Taalgebruikssituatie
-concrete en voor de leerlingen vertrouwde, relevante taalgebruikssituaties
-meestal met visuele ondersteuning
-tot hen of tot hun leeftijdsgroep gericht

Structuur/samenhang/lengte
-korte enkelvoudige en eenvoudig samengestelde zinnen met de meest frequente voegwoorden
-elementaire tekststructuur
-korte teksten
-met expliciete informatie
-ook met redundante informatie

Woordenschat en taalvariëteit
-frequente woorden
-eenduidig in de context
-standaardtaal
-informeel en formeel",Nee,31/08/2006,basis-lager-frans-9,http://ilearn.ilabt.imec.be/vocab/ondniv/basis-lager,http://ilearn.ilabt.imec.be/vocab/curr2/l-frans,http://ilearn.ilabt.imec.be/vocab/curr2/s-fr-lezen,
Basisonderwijs,Lager Onderwijs,Gewoon,Frans,Leergebied,Eindtermen,"Taaltaken, verwerkingsniveaus, tekstsoorten en tekstkenmerken",Spreken,,10,"De leerlingen kunnen volgende taken kopiërend uitvoeren: vooraf beluisterde woorden en zinnen nazeggen.
In teksten met de volgende kenmerken

Onderwerp
-concreet
-eigen leefwereld en dagelijks leven

Taalgebruikssituatie
-concrete en voor de leerlingen vertrouwde, relevante taalgebruikssituaties
-met en zonder visuele ondersteuning

Structuur/samenhang/lengte
-korte enkelvoudige zinnen en eenvoudig samengestelde zinnen met de meest frequente verbindingswoorden
-elementaire tekststructuur
-zeer korte teksten

Uitspraak, articulatie, intonatie
-met aanzet tot heldere uitspraak, zorgvuldige articulatie en natuurlijke intonatie
-standaardtaalTempo en vlotheid
-met eventuele herhalingen en langere onderbrekingen
-langzaam tempo

Woordenschat en taalvariëteit
-zeer frequente woorden uit de woordvelden, vaste frasen en standaarduitdrukkingen
-standaardtaal
-informeel en formeel",Nee,31/08/2006,basis-lager-frans-10,http://ilearn.ilabt.imec.be/vocab/ondniv/basis-lager,http://ilearn.ilabt.imec.be/vocab/curr2/l-frans,http://ilearn.ilabt.imec.be/vocab/curr2/s-fr-spreken,
