Niveau,Soort,Graad,Stroom,Sleutelcompetentie,Type onderwijsdoel,Type onderdeel,Onderdeel,Nummer / Code,Onderwijsdoel,Attitudinaal,Feitenkennis,Conceptuele kennis,Procedurele kennis,Metacognitieve kennis,Context,Tekstkenmerken,Cognitieve dimensie,Affectieve dimensie,Psychomotorische dimensie,Geldig vanaf,Geldig tot,Id,Onderwijsniveau_id,Verwante sleutelcompetentie,Verwante bouwsteen
Secundair onderwijs,Gewoon,1ste graad,A-stroom,7. Burgerschapscompetenties met inbegrip van competenties inzake samenleven,Eindtermen,Bouwsteen,De dynamiek en de gelaagdheid van (eigen) identiteiten duiden.,7.1,De leerlingen lichten de gelaagdheid en de dynamiek van identiteiten en de mogelijke gevolgen ervan voor relaties met anderen toe.,Nee,"'- Erkende symbolen van de Vlaamse gemeenschap, België en de Europese Unie","'- Gelaagdheid van identiteiten, met aandacht voor verschillende aspecten van identiteiten zoals gender, sociale, culturele, economische, regionale, nationale en internationale aspecten
- Dynamiek van identiteiten doorheen ruimte en tijd, met aandacht voor de eigen achtergrond en de persoonlijke beleving van tijd en ruimte 
- Relationeel karakter van identiteiten",,'- Zelfkennis over aspecten van de eigen identiteiten,,,beheersingsniveau begrijpen,"Voorkeur tonen voor en belang hechten aan waarden, opvattingen, gedragingen, gebeurtenissen, informatie, taken, strategieën,…",,31/08/2015,,sec-7.1-4122266280,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr1-astroom,http://ilearn.ilabt.imec.be/vocab/curr1/c-burgerschap-en-samenleven,http://ilearn.ilabt.imec.be/vocab/curr1/s-identiteit
Secundair onderwijs,Gewoon,1ste graad,A-stroom,7. Burgerschapscompetenties met inbegrip van competenties inzake samenleven,Eindtermen,Bouwsteen,Omgaan met diversiteit in het samenleven en het samenwerken.,7.2,De leerlingen gaan respectvol en constructief om met individuen en groepen in een diverse samenleving.,Ja,,,,,,,,,,31/08/2015,,sec-7.2-3813952046,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr1-astroom,http://ilearn.ilabt.imec.be/vocab/curr1/c-burgerschap-en-samenleven,http://ilearn.ilabt.imec.be/vocab/curr1/s-diversiteit
Secundair onderwijs,Gewoon,1ste graad,A-stroom,7. Burgerschapscompetenties met inbegrip van competenties inzake samenleven,Eindtermen,Bouwsteen,Omgaan met diversiteit in het samenleven en het samenwerken.,7.3,De leerlingen hanteren strategieën om respectvol en constructief om te gaan met individuen en groepen in een diverse samenleving.,Nee,,"'- Diversiteit in de samenleving, met aandacht voor meerdere aspecten van diversiteit zoals fysieke, cognitieve, sociale, culturele aspecten",'- Strategieën om respectvol en constructief om te gaan met elkaar,,,,beheersingsniveau toepassen,"Handelen vanuit een persoonlijk kader waarin voorkeuren voor waarden, opvattingen, gedragingen , gebeurtenissen, informatie, taken, strategieën,… geïnternaliseerd zijn, maar waarbij nog aandacht nodig is voor de balans tussen conflicterende aspecten",,31/08/2015,,sec-7.3-2081111273,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr1-astroom,http://ilearn.ilabt.imec.be/vocab/curr1/c-burgerschap-en-samenleven,http://ilearn.ilabt.imec.be/vocab/curr1/s-diversiteit
Secundair onderwijs,Gewoon,1ste graad,A-stroom,7. Burgerschapscompetenties met inbegrip van competenties inzake samenleven,Eindtermen,Bouwsteen,Omgaan met diversiteit in het samenleven en het samenwerken.,7.4,"De leerlingen lichten de mechanismen van vooroordelen, stereotypering, machtsmisbruik en groepsdruk toe.",Nee,,"'- Vooroordelen, stereotypering, machtsmisbruik en groepsdruk",,,,,beheersingsniveau begrijpen,"Voorkeur tonen voor en belang hechten aan waarden, opvattingen, gedragingen, gebeurtenissen, informatie, taken, strategieën,…",,31/08/2015,,sec-7.4-48972604,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr1-astroom,http://ilearn.ilabt.imec.be/vocab/curr1/c-burgerschap-en-samenleven,http://ilearn.ilabt.imec.be/vocab/curr1/s-diversiteit
Secundair onderwijs,Gewoon,1ste graad,A-stroom,7. Burgerschapscompetenties met inbegrip van competenties inzake samenleven,Eindtermen,Bouwsteen,Omgaan met diversiteit in het samenleven en het samenwerken.,7.5,De leerlingen hanteren strategieën om tot constructieve oplossingen voor conflictsituaties te komen.,Nee,,'- Conflicten en oplossingen,'- Strategieën om tot constructieve oplossingen voor conflicten te komen,,,,beheersingsniveau toepassen,"Handelen vanuit een persoonlijk kader waarin voorkeuren voor waarden, opvattingen, gedragingen , gebeurtenissen, informatie, taken, strategieën,… geïnternaliseerd zijn, maar waarbij nog aandacht nodig is voor de balans tussen conflicterende aspecten",,31/08/2015,,sec-7.5-3203140184,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr1-astroom,http://ilearn.ilabt.imec.be/vocab/curr1/c-burgerschap-en-samenleven,http://ilearn.ilabt.imec.be/vocab/curr1/s-diversiteit
Secundair onderwijs,Gewoon,1ste graad,A-stroom,7. Burgerschapscompetenties met inbegrip van competenties inzake samenleven,Eindtermen,Bouwsteen,Omgaan met diversiteit in het samenleven en het samenwerken.,7.6,De leerlingen onderscheiden zowel onverdraagzaamheid als discriminatie in de samenleving.,Nee,,'- Onverdraagzaamheid en discriminatie,,,,,beheersingsniveau begrijpen,"Reageren op opvattingen, gedrag, gebeurtenissen, informatie, taken, strategieën,…",,31/08/2015,,sec-7.6-627479768,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr1-astroom,http://ilearn.ilabt.imec.be/vocab/curr1/c-burgerschap-en-samenleven,http://ilearn.ilabt.imec.be/vocab/curr1/s-diversiteit
Secundair onderwijs,Gewoon,1ste graad,A-stroom,7. Burgerschapscompetenties met inbegrip van competenties inzake samenleven,Eindtermen,Bouwsteen,Geïnformeerd en beargumenteerd met elkaar in dialoog gaan.,7.7,"De leerlingen onderbouwen een eigen mening over maatschappelijke gebeurtenissen, thema’s en trends met betrouwbare informatie en geldige argumenten.",Nee,,"'- Feit en mening
- Realiteit en fictie
- Argumenten","'- Strategieën om een eigen mening te onderbouwen
- Manieren om met elkaar in dialoog te gaan","'- Eigen mening
- Reflectievaardigheden en -proces","'◦ Actuele maatschappelijke gebeurtenissen, thema's en trends",,beheersingsniveau toepassen,"Voorkeur tonen voor en belang hechten aan waarden, opvattingen, gedragingen, gebeurtenissen, informatie, taken, strategieën,…",,31/08/2015,,sec-7.7-301818255,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr1-astroom,http://ilearn.ilabt.imec.be/vocab/curr1/c-burgerschap-en-samenleven,http://ilearn.ilabt.imec.be/vocab/curr1/s-dialoog
Secundair onderwijs,Gewoon,1ste graad,A-stroom,7. Burgerschapscompetenties met inbegrip van competenties inzake samenleven,Eindtermen,Bouwsteen,"Actief participeren aan de samenleving, rekening houdend met de rechten en plichten van iedereen binnen de rechtsstaat.",7.8,"De leerlingen participeren actief in schoolse situaties, rekening houdend met de rechten en plichten van iedereen.",Ja,,,,,,,,,,31/08/2015,,sec-7.8-1645145514,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr1-astroom,http://ilearn.ilabt.imec.be/vocab/curr1/c-burgerschap-en-samenleven,http://ilearn.ilabt.imec.be/vocab/curr1/s-participatie
Secundair onderwijs,Gewoon,1ste graad,A-stroom,7. Burgerschapscompetenties met inbegrip van competenties inzake samenleven,Eindtermen,Bouwsteen,"Actief participeren aan de samenleving, rekening houdend met de rechten en plichten van iedereen binnen de rechtsstaat.",7.9,De leerlingen illustreren het belang van individuele en gezamenlijke acties en engagement voor de samenleving.,Nee,,'- Individuele en gezamenlijke acties en engagement voor de samenleving op lokaal en globaal niveau,,,,,beheersingsniveau begrijpen,"Reageren op opvattingen, gedrag, gebeurtenissen, informatie, taken, strategieën,…",,31/08/2015,,sec-7.9-2564755484,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr1-astroom,http://ilearn.ilabt.imec.be/vocab/curr1/c-burgerschap-en-samenleven,http://ilearn.ilabt.imec.be/vocab/curr1/s-participatie
Secundair onderwijs,Gewoon,1ste graad,A-stroom,7. Burgerschapscompetenties met inbegrip van competenties inzake samenleven,Eindtermen,Bouwsteen,"Actief participeren aan de samenleving, rekening houdend met de rechten en plichten van iedereen binnen de rechtsstaat.",7.10,"De leerlingen onderscheiden inspraak, participatie en besluitvorming in schoolse situaties, rekening houdend met de rechten en plichten van iedereen.",Nee,,"'- Inspraak, participatie en besluitvorming in de schoolomgeving
- Rechten en plichten in de schoolomgeving
- Manieren om te participeren in de schoolomgeving",,,,,beheersingsniveau begrijpen,"Voorkeur tonen voor en belang hechten aan waarden, opvattingen, gedragingen, gebeurtenissen, informatie, taken, strategieën,…",,31/08/2015,,sec-7.10-2365195760,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr1-astroom,http://ilearn.ilabt.imec.be/vocab/curr1/c-burgerschap-en-samenleven,http://ilearn.ilabt.imec.be/vocab/curr1/s-participatie
