Niveau,Soort,Graad,Onderwijsvorm,Finaliteit,Sleutelcompetentie,Wetenschapsdomein,Type onderwijsdoel,Type onderdeel,Onderdeel,Nummer / Code,Onderwijsdoel,Attitudinaal,Feitenkennis,Conceptuele kennis,Procedurele kennis,Metacognitieve kennis,Context,Tekstkenmerken,Cognitieve dimensie,Affectieve dimensie,Psychomotorische dimensie,Studierichtingen,Geldig vanaf,Geldig tot,Id,Onderwijsniveau_id,Verwante sleutelcompetentie,Verwante bouwsteen,Verwant wetenschapsdomein
Secundair onderwijs,Gewoon,2de graad,"aso, kso, tso",Finaliteit doorstroom,,Algemene doorstroomcompetenties,Cesuurdoelen,Onderdeel van wetenschapsdomein,Historisch en cultureel bewustzijn,1.2.1,"De leerlingen onderscheiden voor de middeleeuwen en de vroegmoderne tijd kenmerken van westerse en niet-westerse samenlevingen, gelijkenissen en verschillen in kenmerken tussen samenlevingen, gelijkenissen en verschillen in kenmerken van samenlevingen uit vorige periodes, evenals kenmerken van interculturele contacten.",Nee,"'- Kenmerken van westerse en niet-westerse samenlevingen uit de middeleeuwen en de vroegmoderne tijd voor elk van de maatschappelijke domeinen:&gt; Politiek: staatsvorming en veranderende territoriale invulling; imperialisme; kolonialisme; politieke revolutie; bestuurlijke organisatie en staatsvorm (zoals monarchie, republiek, stadstaat, absolutisme, democratie) met kenmerken zoals grondwet, volkssoevereiniteit, vertegenwoordiging, (de)centralisatie, rechtspraak&gt; Sociaal: gelaagde samenleving; nomadische, agrarische en industriële samenleving; stedelijke samenleving; (on)gelijkheid; (on)vrijheid; slavernij; oorlog, geweld en vrede; minderheden; migratie; kenmerken zoals gezinsorganisatie; demografische processen; interactie met natuur; wij-zij-denken; burgerrechten&gt; Cultureel: kunst- en cultuuruitingen; filosofie; levensbeschouwing en levensbeschouwelijke organisatie; religieuze hervormingen en breuk; multiculturele samenleving; wetenschappen en technologie; drukkunst; kenmerken zoals tradities en gewoonten; mens- en wereldbeelden; mentaliteiten; culturele en artistieke stromingen; onderwijs&gt; Economisch: economische systemen; landbouw; nijverheid; handel; industrialisering; mondialisering; kapitalisme; koopkracht en levensstandaard; arbeidsorganisatie; kenmerken zoals vraag en aanbod; concurrentie; commercialisering; overheidsregulering, transport(r)evolutie; innovatie","'- Kenmerken van westerse en niet-westerse samenlevingen uit de middeleeuwen en de vroegmoderne tijd voor elk van de maatschappelijke domeinen:&gt; Politiek: staatsvorming en veranderende territoriale invulling; imperialisme; kolonialisme; politieke revolutie; bestuurlijke organisatie en staatsvormen (zoals monarchie, republiek, stadstaat, absolutisme, democratie) met kenmerken zoals grondwet, volkssoevereiniteit, vertegenwoordiging, (de)centralisatie, rechtspraak&gt; Sociaal: gelaagde samenleving; nomadische, agrarische en industriële samenleving; stedelijke samenleving; (on)gelijkheid; (on)vrijheid; slavernij; oorlog, geweld en vrede; minderheden; migratie; kenmerken zoals gezinsorganisatie; demografische processen; interactie met natuur; wij-zij-denken; burgerrechten&gt; Cultureel: kunst- en cultuuruitingen; filosofie; levensbeschouwing en levensbeschouwelijke organisatie; religieuze hervormingen en breuk; multiculturele samenleving; wetenschappen en technologie; drukkunst; kenmerken zoals tradities en gewoonten; mens- en wereldbeelden; mentaliteiten; culturele en artistieke stromingen; onderwijs&gt; Economisch: economische systemen; landbouw; nijverheid; handel; industrialisering; mondialisering; kapitalisme; koopkracht en levensstandaard; arbeidsorganisatie; kenmerken zoals vraag en aanbod; concurrentie; commercialisering; overheidsregulering; transport(r)evolutie; innovatie- Verbanden en dynamiek tussen de maatschappelijke domeinen- Gelijkenissen en verschillen in dezelfde periode (synchroon) en tussen verschillende periodes (diachroon)- Aard van de interculturele contacten zoals gelijke of ongelijke machtsverhouding, vreedzaam of gewelddadig contact, wederkerigheid of uitbuiting in het contact, cultuurvermenging of dominantie, wederzijdse perceptie, wederzijdse impact",'- Hanteren van meerdere perspectieven (multipserpectiviteit),,,,beheersingsniveau analyseren,,,"Economische wetenschappen
Freinetpedagogie (2de graad)
Grieks-Latijn (2de graad)
Humane wetenschappen (2de graad)
Latijn
Moderne talen
Natuurwetenschappen
Sportwetenschappen (2de graad)
Topsport-Economie (2de graad)
Topsport-Natuurwetenschappen
Yeshiva (2de graad)",31/08/2017,,sec-1.2.1-4087020010,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr2-doorstroom,,,http://ilearn.ilabt.imec.be/vocab/curr1/s-algemene-doorstroomcompetenties
Secundair onderwijs,Gewoon,2de graad,"aso, kso, tso",Finaliteit doorstroom,,Algemene doorstroomcompetenties,Cesuurdoelen,Onderdeel van wetenschapsdomein,Historisch en cultureel bewustzijn,1.2.2,"De leerlingen evalueren een historische vraag op basis van de soort, de onderzoekbaarheid en de situering ervan in het historisch referentiekader.",Nee,"'- Structuurbegrippen met betrekking tot&gt; Tijd: millennium, eeuw, jaar, tijdrekening, chronologie, periode, continuïteit, verandering, breuk, evolutie, revolutie, duur, gelijktijdigheid, ongelijktijdigheid&gt; Ruimte: lokaal, regionaal, (West-)Europees, westers en niet-westers, mondiaal, centrum-periferie, opengesloten ruimte, stedelijk en ruraal, continentaal en maritiem&gt; Maatschappelijke domeinen: politiek, sociaal, cultureel, economisch- Structuurbegrippen met betrekking tot typische historische redeneerwijzen: oorzaak en gevolg, toeval, perspectief, historische inleving, continuïteit, verandering, argument, bewijs, gelijktijdigheid en ongelijktijdigheid, bedoelde en onbedoelde handelingen en gevolgen en structuurbegrippen zoals structurele en incidentele oorzaak, historische contextualisering, de menselijke en structurele (f)actoren (agency), analogie, verband, veralgemening, stereotypering","'- Standplaatsgebondenheid- Soorten historische vragen: vraag over het verleden, over de relatie verleden-heden, over de totstandkoming van historische kennis of over representaties van het verleden- Criteria voor de onderzoekbaarheid van een vraag zoals afbakening in tijd, ruimte of maatschappelijk domein, bestaan van bronnen, relevantie van bronnen, gebruik van historische redeneerwijzen, beschikbare tijd en middelen","'- Toepassen van historische redeneerwijzen: causaal redeneren, meerdere perspectieven hanteren, zich inleven in de context van het verleden, continuïteit en verandering analyseren, bewijs gebruiken, actualiseren en historiseren, tussen historische feiten verbanden leggen en historische redeneerwijzen zoals historisch contextualiseren, over bronnen reflecteren, de menselijke en de structurele (f)actoren (agency) benoemen, historische analogieën leggen, veralgemening en stereotypering onderzoeken",,,,beheersingsniveau evalueren,,,"Economische wetenschappen
Freinetpedagogie (2de graad)
Grieks-Latijn (2de graad)
Humane wetenschappen (2de graad)
Latijn
Moderne talen
Natuurwetenschappen
Sportwetenschappen (2de graad)
Topsport-Economie (2de graad)
Topsport-Natuurwetenschappen
Yeshiva (2de graad)",31/08/2017,,sec-1.2.2-3992895483,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr2-doorstroom,,,http://ilearn.ilabt.imec.be/vocab/curr1/s-algemene-doorstroomcompetenties
Secundair onderwijs,Gewoon,2de graad,"aso, kso, tso",Finaliteit doorstroom,,Algemene doorstroomcompetenties,Cesuurdoelen,Onderdeel van wetenschapsdomein,Historisch en cultureel bewustzijn,1.2.5,De leerlingen brengen aspecten van vormgeving in kunst- en cultuuruitingen in verband met de context waarin die voorkomen.,Nee,,"'- Aspecten van vormgeving zoals materialen, technieken en functie, in tijd, ruimte en maatschappelijke domeinen- Uitingen van kunst en cultuur zoals in media, in materieel en immaterieel erfgoed, in artistiek werk",'- Toepassen van methodes om aspecten van vormgeving in verband te brengen met de context waarin die voorkomen,,,,beheersingsniveau analyseren,,,"Economische wetenschappen
Freinetpedagogie (2de graad)
Grieks-Latijn (2de graad)
Humane wetenschappen (2de graad)
Latijn
Moderne talen
Natuurwetenschappen
Sportwetenschappen (2de graad)
Topsport-Economie (2de graad)
Topsport-Natuurwetenschappen
Yeshiva (2de graad)",31/08/2017,,sec-1.2.5-2532365635,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr2-doorstroom,,,http://ilearn.ilabt.imec.be/vocab/curr1/s-algemene-doorstroomcompetenties
Secundair onderwijs,Gewoon,2de graad,"aso, kso, tso",Finaliteit doorstroom,,Bewegingswetenschappen,Cesuurdoelen,Onderdeel van wetenschapsdomein,Uitgebreide bewegingswetenschappen,13.1.1,"De leerlingen voeren in authentieke situaties, voor een brede waaier van bewegingsactiviteiten, de technische en tactische bewegingsspecifieke competenties uit op gevorderd niveau en binnen de drie bewegingsdomeinen.",Nee,"'- Vakterminologie inherent aan de afbakening van het cesuurdoel waaronder de drie bewegingsdomeinen: het individuele, het interactieve en het ritmisch-expressieve bewegingsdomein- Basiskenmerken van kracht, lenigheid, uithouding, snelheid, coördinatie en evenwicht (KLUSCE)","'- Technieken van de drie bewegingsdomeinen in complexe bewegingssituaties- Tactieken van de drie bewegingsdomeinen in complexe bewegingssituaties - Basisprincipes van de bevordering van kracht, lenigheid, uithouding, snelheid, coördinatie en evenwicht (KLUSCE) binnen de drie bewegingsdomeinen en binnen de eigen leeftijdsgroep","'- Toepassen van technieken van bewegingsleer zoals balanceren, wentelen, springen, rollen, klauteren, klimmen, ritmisch bewegen, lopen, vangen, werpen, terugslaan, vallen, mee- en tegengaan in beweging in complexe bewegingssituaties- Toepassen van technieken van de drie bewegingsdomeinen in complexe bewegingssituaties- Toepassen van tactieken van de drie bewegingsdomeinen in complexe bewegingssituaties- Adequaat gebruiken van materiaal en uitrusting",,,,beheersingsniveau toepassen,,Een vaardigheid in een andere vorm toepassen en integreren met andere kennis en vaardigheden. Essentiële elementen van de beweging/handeling zijn meestal aanwezig.,Sportwetenschappen (2de graad),31/08/2017,,sec-13.1.1-3328071774,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr2-doorstroom,,,http://ilearn.ilabt.imec.be/vocab/curr1/s-bewegingswetenschappen
Secundair onderwijs,Gewoon,2de graad,"aso, kso, tso",Finaliteit doorstroom,,Bewegingswetenschappen,Cesuurdoelen,Onderdeel van wetenschapsdomein,Uitgebreide bewegingswetenschappen,13.1.2,"De leerlingen analyseren een brede waaier van bewegingsactiviteiten, binnen elke groep van bewegingsdomeinen.",Nee,"'- Vakterminologie inherent aan de afbakening van het cesuurdoel waaronder de drie bewegingsdomeinen: het individuele, het interactieve en het ritmisch-expressieve bewegingsdomein- Basiskenmerken van kracht, lenigheid, uithouding, snelheid, coördinatie en evenwicht (KLUSCE)","'- Technieken van de drie bewegingsdomeinen in complexe bewegingssituaties- Tactieken van de drie bewegingsdomeinen in complexe bewegingssituaties- Basisprincipes van de bevordering van kracht, lenigheid, uithouding, snelheid, coördinatie en evenwicht (KLUSCE) binnen de drie bewegingsdomeinen en binnen de eigen leeftijdsgroep- Trainingsprincipes- Motorisch leerproces- Prestatiedoel en prestatienorm- Het verschil tussen maturiteit en kalenderleeftijd",'- Vergelijken van technieken en tactieken van de drie bewegingsdomeinen in complexe bewegingssituaties- Analyseren van en reflecteren op bewegingsactiviteiten- Vergelijken van prestatiedoelen met prestatienormen- Analyseren van tactieken binnen een brede waaier van bewegingsactiviteiten,'- Factoren die impact hebben op de eigen prestatie,,,beheersingsniveau analyseren,,,Sportwetenschappen (2de graad),31/08/2017,,sec-13.1.2-1266734423,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr2-doorstroom,,,http://ilearn.ilabt.imec.be/vocab/curr1/s-bewegingswetenschappen
Secundair onderwijs,Gewoon,2de graad,"aso, kso, tso",Finaliteit doorstroom,,Bewegingswetenschappen,Cesuurdoelen,Onderdeel van wetenschapsdomein,Uitgebreide bewegingswetenschappen,13.1.3,De leerlingen sturen de eigen technische en tactische bewegingsspecifieke competenties bij in een brede waaier van bewegingsactiviteiten en binnen de drie bewegingsdomeinen.,Nee,"'- Vakterminologie inherent aan de afbakening van het cesuurdoel waaronder de drie bewegingsdomeinen: het individuele, het interactieve en het ritmisch-expressieve bewegingsdomein- Basiskenmerken van kracht, lenigheid, uithouding, snelheid, coördinatie en evenwicht (KLUSCE)","'- Technieken van de drie bewegingsdomeinen in complexe bewegingssituaties- Tactieken van de drie bewegingsdomeinen in complexe bewegingssituaties- Basisprincipes van de bevordering van kracht, lenigheid, uithouding, snelheid, coördinatie en evenwicht (KLUSCE) binnen de drie bewegingsdomeinen en binnen de eigen leeftijdsgroep- Prestatiedoel en prestatienorm- Het verschil tussen maturiteit en kalenderleeftijd",'- Bijsturen en optimaliseren van technieken binnen de brede waaier van bewegingsactiviteiten- Bijsturen en optimaliseren van tactieken binnen een brede waaier van bewegingsactiviteiten,,,,beheersingsniveau toepassen,,,Sportwetenschappen (2de graad),31/08/2017,,sec-13.1.3-2267560844,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr2-doorstroom,,,http://ilearn.ilabt.imec.be/vocab/curr1/s-bewegingswetenschappen
Secundair onderwijs,Gewoon,2de graad,"aso, kso, tso",Finaliteit doorstroom,,Bewegingswetenschappen,Cesuurdoelen,Onderdeel van wetenschapsdomein,Uitgebreide bewegingswetenschappen,13.1.4,De leerlingen beschrijven het anatomisch functioneren bij bewegingsactiviteiten.,Nee,'- Vakterminologie inherent aan de afbakening van het cesuurdoel waaronder Latijnse terminologie met betrekking tot functionele anatomie,"'- Functionele anatomie:&gt; Bouw, eigenschappen en functie van skeletspieren&gt; Gebruik van spieren in relatie tot verschillende bewegingspatronen&gt; Isometrische, concentrische en excentrische spieractiviteiten in verschillende bewegingssituaties- Het verschil tussen maturiteit en kalenderleeftijd",,,,,beheersingsniveau begrijpen,,,Sportwetenschappen (2de graad),31/08/2017,,sec-13.1.4-761867256,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr2-doorstroom,,,http://ilearn.ilabt.imec.be/vocab/curr1/s-bewegingswetenschappen
Secundair onderwijs,Gewoon,2de graad,"aso, kso, tso",Finaliteit doorstroom,,Bewegingswetenschappen,Cesuurdoelen,Onderdeel van wetenschapsdomein,Uitgebreide bewegingswetenschappen,13.1.5,De leerlingen integreren principes van medisch verantwoord en veilig bewegen.,Nee,,"'- Principes van blessurepreventie op basis van actuele wetenschappelijke inzichten- Preventieve maatregelen: een veilige bewegingsomgeving, helpersfunctie, aangepaste kledij en aangepast schoeisel- Herstel- en overtraining-  Bewegingsnormen op basis van actuele wetenschappelijke inzichten","'- Integreren van preventieve maatregelen: een veilige bewegingsomgeving, helpersfunctie, aangepaste kledij en aangepast schoeisel- Integreren van principes van blessurepreventie zoals opwarmen, cooling down, gecontroleerde bewegingsuitvoering",,,,beheersingsniveau toepassen,,Een vaardigheid in een andere vorm toepassen en integreren met andere kennis en vaardigheden. Essentiële elementen van de beweging/handeling zijn meestal aanwezig.,Sportwetenschappen (2de graad),31/08/2017,,sec-13.1.5-1278992705,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr2-doorstroom,,,http://ilearn.ilabt.imec.be/vocab/curr1/s-bewegingswetenschappen
Secundair onderwijs,Gewoon,2de graad,"aso, kso, tso",Finaliteit doorstroom,,Bewegingswetenschappen,Cesuurdoelen,Onderdeel van wetenschapsdomein,Pakket uit de toegepaste bewegingswetenschappen,13.3.1,De leerlingen beschrijven het anatomisch functioneren bij bewegingsactiviteiten.,Nee,'- Vakterminologie inherent aan de afbakening van het cesuurdoel waaronder Latijnse terminologie met betrekking tot functionele anatomie,"'- Functionele anatomie&gt; Bouw, eigenschappen en functie van skeletspieren&gt; Gebruik van spieren in relatie tot verschillende bewegingspatronen&gt; Isometrische, concentrische en excentrische spieractiviteiten in verschillende bewegingscontexten- Het verschil tussen maturiteit en kalenderleeftijd",,,,,beheersingsniveau begrijpen,,,Dans (2de graad),31/08/2017,,sec-13.3.1-761867256,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr2-doorstroom,,,http://ilearn.ilabt.imec.be/vocab/curr1/s-bewegingswetenschappen
Secundair onderwijs,Gewoon,2de graad,"aso, kso, tso",Finaliteit doorstroom,,Bewegingswetenschappen,Cesuurdoelen,Onderdeel van wetenschapsdomein,Pakket uit de toegepaste bewegingswetenschappen,13.3.2,De leerlingen passen principes van medisch verantwoord en veilig bewegen toe.,Nee,,"'- Principes van blessurepreventie op basis van actuele wetenschappelijke inzichten- Preventieve maatregelen: veilige bewegingsomgeving, helpersfunctie, aangepaste kledij en aangepast schoeisel- Herstel- en overtraining- Bewegingsnormen op basis van actuele wetenschappelijke inzichten","'- Toepassen van preventieve maatregelen: veilige bewegingsomgeving, helpersfunctie, aangepaste kledij en aangepast schoeisel- Toepassen van principes van blessurepreventie zoals opwarmen, cooling down, gecontroleerde bewegingsuitvoering",'- Eigen bewegingslimieten binnen de KLUSCE,,,beheersingsniveau toepassen,,Een vaardigheid in een andere vorm toepassen en integreren met andere kennis en vaardigheden. Essentiële elementen van de beweging/handeling zijn meestal aanwezig.,Dans (2de graad),31/08/2017,,sec-13.3.2-4273562132,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr2-doorstroom,,,http://ilearn.ilabt.imec.be/vocab/curr1/s-bewegingswetenschappen
