Niveau,Soort,Graad,Onderwijsvorm,Finaliteit,Sleutelcompetentie,Wetenschapsdomein,Type onderwijsdoel,Type onderdeel,Onderdeel,Nummer / Code,Onderwijsdoel,Attitudinaal,Feitenkennis,Conceptuele kennis,Procedurele kennis,Metacognitieve kennis,Context,Tekstkenmerken,Cognitieve dimensie,Affectieve dimensie,Psychomotorische dimensie,Studierichtingen,Geldig vanaf,Geldig tot,Id,Onderwijsniveau_id,Verwante sleutelcompetentie,Verwante bouwsteen
Secundair onderwijs,Gewoon,3de graad,,,,Aardwetenschappen,Specifieke eindtermen,Onderdeel van wetenschapsdomein,Uitgebreide aardwetenschappen,10.1.1,De leerlingen onderzoeken complexe interacties tussen de sferen van het systeem aarde en de externe impact op het systeem aarde.,Nee,"'- Vakterminologie inherent aan de afbakening van de specifieke eindterm waaronder
‣ Atmosfeer, hydrosfeer, cryosfeer, lithosfeer, biosfeer
‣ Positieve en negatieve terugkoppeling","'- Systeem aarde &gt; Atmosfeer, hydrosfeer, cryosfeer, lithosfeer, biosfeer en de interactie met de mens &gt; Wetenschappelijke verdieping van ruimtelijke processen en complexe interacties in en tussen de sferen met inbegrip van de zuurstofcyclus en de koolstofcyclus &gt; Positieve en negatieve terugkoppeling tussen processen zoals bij El Niño, oceaanterugkoppeling, permafrostterugkoppeling en andere in relatie tot klimaat en klimaatverandering &gt; Snelheid van interacties tussen sferen en tijdschalen waarop processen plaatsvinden - Externe impact op het systeem aarde &gt; Aardbaanparameters: excentriciteit, obliquiteit, precessie &gt; Evolutie van de zon, met inbegrip van kernfusie met de opeenvolgende chemische elementen &gt; Gevolgen van processen in de zon: zonnewind, zonnecyclus &gt; Tijdschalen van processen in de zon en in het zonnestelsel","'- Systeemdenken
- Gebruiken van geografische hulpbronnen 
- Gebruiken van geo-ict technieken 
- Kwantitatief en kwalitatief analyseren van ruimtelijke processen in het systeem aarde",,,,beheersingsniveau analyseren,,,"Latijn-Wetenschappen
Moderne talen-Wetenschappen
Topsport-Wetenschappen
Wetenschappen-Wiskunde",,,sec-10.1.1-3167029309,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr3,,
Secundair onderwijs,Gewoon,3de graad,,,,Aardwetenschappen,Specifieke eindtermen,Onderdeel van wetenschapsdomein,Uitgebreide aardwetenschappen,10.1.2,De leerlingen analyseren bodems in het systeem aarde.,Nee,"'- Vakterminologie inherent aan de afbakening van de specifieke eindterm waaronder
‣ Bodemhorizont, bodemprofiel
‣ Textuur
‣ Ecosysteemdienst","'- Genese: bodemhorizonten, bodemprofiel en beïnvloedende factoren op bodemvorming
- Samenstelling en kenmerken: zuurtegraad, drainering, mineralogie, textuur, humusgehalte
- Principes van bodemclassificatie
- Verspreiding van bodemtypes
- Regulerende en voorzienende ecosysteemdiensten zoals  waterberging en - voorziening, voedselproductie, koolstofregulatie 
- Bedreigingen zoals erosie, verontreiniging, degradatie","'- Systeemdenken
- Gebruiken van geografische hulpbronnen met inbegrip van bodemkaarten
- Gebruiken van terreintechnieken voor bodemprofielonderzoek
- Kwantitatief en kwalitatief analyseren van ruimtelijke processen zoals bodemvorming, bodemerosie",,,,beheersingsniveau analyseren,,,"Latijn-Wetenschappen
Moderne talen-Wetenschappen
Topsport-Wetenschappen
Wetenschappen-Wiskunde",,,sec-10.1.2-3233376553,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr3,,
Secundair onderwijs,Gewoon,3de graad,,,,Aardwetenschappen,Specifieke eindtermen,Onderdeel van wetenschapsdomein,Uitgebreide aardwetenschappen,10.1.3,De leerlingen analyseren het belang van zeeën en oceanen in het systeem aarde.,Nee,'- Vakterminologie inherent aan de afbakening van de specifieke eindterm waaronder ecosysteemdiensten,"'- Ontstaan en evolutie van zeeën en oceanen: outgassing, tektoniek, klimaatverandering 
- Regulerende en voorzienende ecosysteemdiensten zoals energieverdeling, koolstofcyclus, voedselvoorziening
- Bedreigingen zoals verzuring, vervuiling, overbevissing
- Geopolitiek belang van grondstoffen uit de oceaanbodem, scheepvaartroutes","'- Systeemdenken
- Gebruiken van geografische hulpbronnen met inbegrip van kaarten
- Kwantitatief en kwalitatief analyseren van ruimtelijke processen zoals energieverdeling, koolstofcyclus, verzuring",,,,beheersingsniveau analyseren,,,"Latijn-Wetenschappen
Moderne talen-Wetenschappen
Topsport-Wetenschappen
Wetenschappen-Wiskunde",,,sec-10.1.3-1839502291,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr3,,
Secundair onderwijs,Gewoon,3de graad,,,,Aardwetenschappen,Specifieke eindtermen,Onderdeel van wetenschapsdomein,Uitgebreide aardwetenschappen,10.1.4,De leerlingen vergelijken methodes om de dynamiek van het systeem aarde te onderzoeken.,Nee,"'- Vakterminologie inherent aan de afbakening van de specifieke eindterm waaronder
‣ Absolute en relatieve datering
‣ Radiometrische datering, pollenanalyse, dendrochronologie, isotopenanalyse, varvenchronologie, geologische structuren
‣ Seismografie
‣ Teledetectie, luchtfoto, satellietbeeld","'- Methodes van absolute en relatieve datering: radiometrische datering, pollenanalyse, dendrochronologie, isotopenanalyse, varvenchronologie, geologische structuren 
- Seismografie
‣ Aardbevingsgolven
‣ Wetenschappelijke achtergrond van aardbevingsschalen
- Teledetectie
‣ Elektromagnetische straling als drager van informatie
‣ Onderscheid tussen luchtfoto en satellietbeeld",,,'◦ De specifieke eindterm wordt gerealiseerd aan de hand van casussen van het systeem aarde.,,beheersingsniveau begrijpen,,,"Latijn-Wetenschappen
Moderne talen-Wetenschappen
Topsport-Wetenschappen
Wetenschappen-Wiskunde",,,sec-10.1.4-4251426174,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr3,,
Secundair onderwijs,Gewoon,3de graad,,,,Aardwetenschappen,Specifieke eindtermen,Onderdeel van wetenschapsdomein,Uitgebreide aardwetenschappen,10.1.5,De leerlingen beoordelen de keuze van projectiemethodes en cartografische symbolisatie van kaarten in functie van de kaartinformatie.,Nee,"'- Vakterminologie inherent aan de afbakening van de specifieke eindterm waaronder
‣ equidistant, conform, equivalent
‣ Mercatorprojectie","'- Projectiemethodes
‣ Kenmerken
# Projectiecentrum
# Projectievlak rakend of snijdend
# projectievlak i.f.v. het gebied: cilinder, kegel, azimutaal
‣ Eigenschappen: equivalentie, equidistantie, conformiteit
‣ Voorbeelden van projecties en afbeeldingen met inbegrip van Lambertprojectie, Mercatorprojectie, Peters
- Cartografische symbolisatie en generalisatie
- Soorten thematische kaarten zoals choropletenkaart, chorochromatische kaart, cartogram, bewegingskaart","'- Beoordelen van projectiemethodes, cartografische symbolisatie en cartografische generalisatie in functie van de cartografische weergave van gegevens",,,,beheersingsniveau evalueren,,,"Latijn-Wetenschappen
Moderne talen-Wetenschappen
Topsport-Wetenschappen
Wetenschappen-Wiskunde",,,sec-10.1.5-1897680493,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr3,,
Secundair onderwijs,Gewoon,3de graad,,,,Aardwetenschappen,Specifieke eindtermen,Onderdeel van wetenschapsdomein,Toegepaste aardwetenschappen: bodemkunde,10.2.1,De leerlingen evalueren bodems in functie van bodemgebruik en duurzaam bodembeheer.,Nee,"'- Vakterminologie inherent aan de afbakening van de specifieke eindterm waaronder bodemprofiel, bodemhorizont","'- Beïnvloedende factoren voor bodemvorming: klimaat, gesteente, biologische activiteit, reliëf, menselijke activiteiten, tijd
- Samenstelling en eigenschappen
‣ Bestanddelen van bodems: lucht, mineralen, humus, water
‣ Biologische, fysische en chemische eigenschappen: zuurtegraad, textuur, doorlaatbaarheid, mineralogie en andere zoals humusgehalte, beworteling
‣ Bodemprofiel met bodemhorizonten
- Variatie in bodemtypes
- Regulerende en voorzienende ecosysteemdiensten zoals waterberging en -voorziening, voedselproductie, koolstofregulatie
- Fysische en chemische bodemdegradatie zoals erosie, verzilting, verdroging
- Maatregelen voor duurzaam bodembeheer: bodembewerking, erosiebestrijding en andere zoals teeltkeuze","'- Gebruiken van terreintechnieken en geografische hulpbronnen om bodems, bodemgebruik en duurzaam bodembeheer te onderzoeken zoals observatie, bodemboring, rapporten
- Evalueren van bodems in functie van bodemgebruik en duurzaam bodembeheer",,,,beheersingsniveau evalueren,,,"Agrotechnieken dier
Agrotechnieken plant
Natuur- en groentechnieken
Tuinaanleg en beheer",,,sec-10.2.1-385511507,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr3,,
Secundair onderwijs,Gewoon,3de graad,,,,Aardwetenschappen,Specifieke eindtermen,Onderdeel van wetenschapsdomein,"Toegepaste aardwetenschappen: milieu, klimaat en natuur",10.3.1,De leerlingen onderzoeken interacties en processen in ecosystemen in functie van natuur- en landschapsbeheer.,Nee,'- Vakterminologie inherent aan de afbakening van de specifieke eindterm,"'- Biotische en abiotische componenten en hun ruimtelijke patronen in ecosystemen
- Interacties en processen in ecosystemen met inbegrip van oorzaak-gevolgrelaties, terugkoppeling
- Ecosysteemdiensten zoals regulerende, voorzienende en culturele diensten
- Natuur- en landschapsbeheer
‣ Vormen van beheer zoals hooien, kappen, beweiden, hermeanderen
‣ Aanleg en onderhoud van landschapselementen zoals poelen, trage wegen, hagen en boskanten
‣ Plaatsen van infrastructuur zoals veerasters, vogelkijkwanden, knuppelpaden, insectenhotels, zitbanken
- Een ecosysteem als deel van een groter systeem","'- Systeemdenken
- Gebruiken van geografische hulpbronnen en terreintechnieken",,'- De specifieke eindterm wordt gerealiseerd aan de hand van terreinstudie van minstens één gebied.,,beheersingsniveau analyseren,,,,,,sec-10.3.1-856127787,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr3,,
Secundair onderwijs,Gewoon,3de graad,,,,Aardwetenschappen,Specifieke eindtermen,Onderdeel van wetenschapsdomein,"Toegepaste aardwetenschappen: milieu, klimaat en natuur",10.3.2,De leerlingen analyseren antropogene invloeden in een ecosysteem.,Nee,'- Vakterminologie inherent aan de afbakening van de specifieke eindterm,"'- Antropogene invloeden vanuit het perspectief van natuur- en landschapsbeheer
‣ Kenmerken, oorzaken en gevolgen van milieuverstoringen 
zoals geluids- en lichthinder, verdroging, versnippering
‣ Kenmerken en gevolgen van maatregelen zoals vernatting, extensieve begrazing","'- Systeemdenken
- Gebruiken van geografische hulpbronnen en terreintechnieken",,,,beheersingsniveau analyseren,,,,,,sec-10.3.2-3330978100,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr3,,
Secundair onderwijs,Gewoon,3de graad,,,,Aardwetenschappen,Specifieke eindtermen,Onderdeel van wetenschapsdomein,"Toegepaste aardwetenschappen: milieu, klimaat en natuur",10.3.3,De leerlingen evalueren maatregelen voor natuur- en landschapsbeheer in een ecosysteem.,Nee,'- Vakterminologie inherent aan de afbakening van de specifieke eindterm,"'- Natuurbeleid met inbegrip van beleidsinstrumenten
- Inrichtings- en beheerplannen
- Beheertechnieken i.f.v. natuur en landschap
- Concepten uit de specifieke eindtermen 10.3.1 en 10.3.2","'- Systeemdenken
- Gebruiken van geografische hulpbronnen en terreintechnieken 
- Evalueren van maatregelen in functie van de doelstellingen van het inrichtings- of beheerplan",,,,beheersingsniveau evalueren,,,,,,sec-10.3.3-3485846185,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr3,,
Secundair onderwijs,Gewoon,3de graad,,,,Aardwetenschappen,Specifieke eindtermen,Onderdeel van wetenschapsdomein,"Toegepaste aardwetenschappen: milieu, klimaat en landbouw",10.4.1,De leerlingen onderzoeken interacties en processen in ecosystemen in functie van land- en tuinbouw.,Nee,'- Vakterminologie inherent aan de afbakening van de specifieke eindterm,"'- Biotische en abiotische componenten en hun ruimtelijke patronen in ecosystemen
- Interacties en processen in ecosystemen met inbegrip van oorzaak-gevolgrelaties, terugkoppeling
- Ecosysteemdiensten zoals regulerende, voorzienende en culturele diensten
- Een ecosysteem als deel van een groter systeem","'- Systeemdenken
- Gebruiken van geografische hulpbronnen en terreintechnieken",,,,beheersingsniveau analyseren,,,"Agrotechnieken dier
Agrotechnieken plant
Natuur- en groentechnieken
Tuinaanleg en beheer",,,sec-10.4.1-2068927796,http://ilearn.ilabt.imec.be/vocab/ondniv/sec-gr3,,
