Onderwijsniveau,Onderwijssubniveau,jaar/graad,Finaliteit,Onderwijsvorm,altLabel,altLabel2,IEEE LOM,leeftijd,curriculum,curriculum2,curriculum3,Id,ParentId,Mapping
basisonderwijs,,,,,,,,,,,,basis,,niveau
basisonderwijs,kleuteronderwijs,,,,,,school,3-5,,,,basis-kleuter,basis,subniveau
basisonderwijs,kleuteronderwijs,3 jaar of jonger,,,drie jaar of jonger,,,3,,,,basis-kleuter-3j,basis-kleuter,graad
basisonderwijs,kleuteronderwijs,4 jaar,,,vier jaar,,,4,,,,basis-kleuter-4j,basis-kleuter,graad
basisonderwijs,kleuteronderwijs,5 jaar,,,vijf jaar,,,5,,,,basis-kleuter-5j,basis-kleuter,graad
basisonderwijs,lager onderwijs,,,,,,school,6-11,http://ilearn.ilabt.imec.be/vocab/elem/leergebieden,,,basis-lager,basis,subniveau
basisonderwijs,lager onderwijs,1ste leerjaar,,,eerste leerjaar,1e leerjaar,,6,,,,basis-lager-lj1,basis-lager,graad
basisonderwijs,lager onderwijs,2e leerjaar,,,tweede leerjaar,,,7,,,,basis-lager-lj2,basis-lager,graad
basisonderwijs,lager onderwijs,3e leerjaar,,,derde leerjaar,,,8,,,,basis-lager-lj3,basis-lager,graad
basisonderwijs,lager onderwijs,4e leerjaar,,,vierde leerjaar,,,9,,,,basis-lager-lj4,basis-lager,graad
basisonderwijs,lager onderwijs,5e leerjaar,,,vijfde leerjaar,,,10,,,,basis-lager-lj5,basis-lager,graad
basisonderwijs,lager onderwijs,6e leerjaar,,,zesde leerjaar,,,11,,,,basis-lager-lj6,basis-lager,graad
secundair onderwijs,,,,,,,school,12-18,,,,sec,,niveau
secundair onderwijs,,1ste graad,,,eerste graad,1e graad,,12-13,http://ilearn.ilabt.imec.be/vocab/elem/sleutelcompetenties,,,sec-gr1,sec,graad
secundair onderwijs,,1ste graad,a-stroom,,,,,,,,,sec-gr1-astroom,sec-gr1,finaliteit
secundair onderwijs,,1ste graad,b-stroom,,,,,,,,,sec-gr1-bstroom,sec-gr1,finaliteit
secundair onderwijs,,2e graad,,,tweede graad,,,14-15,http://ilearn.ilabt.imec.be/vocab/elem/sleutelcompetenties,http://ilearn.ilabt.imec.be/vocab/elem/studiedomeinen,,sec-gr2,sec,graad
secundair onderwijs,,2e graad,finaliteit doorstroom,,doorstroomfinaliteit,,,,,,,sec-gr2-doorstroom,sec-gr2,finaliteit
secundair onderwijs,,2e graad,finaliteit doorstroom,aso,,,,,,,,sec-gr2-doorstroom-aso,sec-gr2-doorstroom,onderwijsvorm
secundair onderwijs,,2e graad,finaliteit doorstroom,tso,,,,,,,,sec-gr2-doorstroom-tso,sec-gr2-doorstroom,onderwijsvorm
